experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,train_H_Q_xCz_toagg,train_h_acc_toagg,train_DIQ_xz_toagg,train_H_Q_yCz_toagg,train_DIQ_yz_toagg,train_aux_loss_toagg,valid_H_Q_xCz_toagg,valid_h_acc_toagg,valid_DIQ_xz_toagg,valid_H_Q_yCz_toagg,valid_DIQ_yz_toagg,valid_aux_loss_toagg,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,valid_loglike_toagg,train_acc_toagg,train_H_zCx_toagg,train_I_xz_toagg,valid_H_zCx_toagg,valid_I_xz_toagg
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,1.0,default,1,transformer,48,15.518465692346746,0.07808932315029406,0.04135829752141779,0.33518350327556784,6.308672547340393,-15.518465692346746,15.597844886779786,0.06481584821428571,-0.038020896911621097,5.219042158126831,1.4248138904571532,-15.597844886779786,-15.183283363511828,-10.381646569824218,0.2612,-3.6158974963468395,0.9912222222222222,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,1.0,default,1,transformer,49,15.517812945625998,0.0786618562786583,0.042011044242165306,0.3327176100151105,6.311138434843584,-15.517812945625998,15.588767910003662,0.06349699059311224,-0.028943920135498048,5.221153402328492,1.4227026462554933,-15.588767910003662,-15.18510800628662,-10.37014557800293,0.2622,-3.6176265212620446,0.9915333333333334,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,0,16.393206921490755,0.0679750092672199,-0.8333829316225919,6.079502192410556,0.5643538561734286,-16.393206921490755,16.155603408813477,0.056415417729591834,-0.5957794189453125,5.569707536697388,1.0741485118865968,-16.155603408813477,-10.313609029981825,-10.58959047088623,0.1544,-3.8582323926163835,0.11282222222222223,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,1,15.82257149436257,0.06577034544146232,-0.262747504494407,4.948811899531972,1.695044149052013,-15.82257149436257,15.862322521209716,0.06346410634566327,-0.30249853134155275,5.3106225490570065,1.3332334995269775,-15.862322521209716,-10.873528180609808,-10.553350512695312,0.179,-3.680142134391493,0.21135555555555555,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,2,15.68600298057903,0.06684916859798645,-0.12617899071086536,4.287176609039307,2.3566794395446777,-15.68600298057903,15.669419956207275,0.06309490593112245,-0.10959596633911133,5.130230236053467,1.5136258125305175,-15.669419956207275,-11.39887370062934,-10.542033638000488,0.2026,-3.5544245457100216,0.29213333333333336,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,3,15.623351151292974,0.06713137101898924,-0.06352716142481024,3.748589125546542,2.8952669230374424,-15.623351151292974,15.656041622161865,0.055677515146683676,-0.09621763229370117,5.059603357315064,1.584252691268921,-15.656041622161865,-11.875131430223252,-10.598689419555663,0.2094,-3.505789619120021,0.3703111111111111,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,4,15.606482527472757,0.06869730728855163,-0.046658537604592064,3.2938073223287407,3.3500487262552436,-15.606482527472757,15.667828464508057,0.06116420200892857,-0.10800447463989257,4.97901668548584,1.6648393630981446,-15.667828464508057,-12.31309573059082,-10.68852614593506,0.229,-3.4517712724135374,0.44422222222222224,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,5,15.584548126567494,0.06991007681668661,-0.024724136699329723,2.872571947899732,3.7712841006842526,-15.584548126567494,15.644149589538575,0.06314323580994899,-0.08432559967041016,4.988242101669312,1.655613946914673,-15.644149589538575,-12.712188989766439,-10.656154719543457,0.228,-3.4575566431553364,0.5254222222222222,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,6,15.577428156679327,0.07057640160860247,-0.017604166811162777,2.5240811570124193,4.119774872606451,-15.577428156679327,15.694774532318116,0.06345912388392858,-0.13495054244995117,4.948849725723266,1.6950063228607177,-15.694774532318116,-13.053438662380643,-10.743689425659179,0.2396,-3.4319061823658705,0.5937555555555556,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,7,15.570538715882735,0.07132980127654008,-0.010714726014570757,2.2055407843806525,4.43831528858705,-15.570538715882735,15.635173225402832,0.06283282844387755,-0.07534923553466796,4.951604413986206,1.6922516345977783,-15.635173225402832,-13.365130676269532,-10.681279597473145,0.2382,-3.433624143400078,0.6572888888888889,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,8,15.555116664279591,0.07239066432727771,0.004707325588573109,1.9386653317646547,4.705190718173981,-15.555116664279591,15.642001724243164,0.06363400829081632,-0.082177734375,4.912818527221679,1.7310375213623046,-15.642001724243164,-13.616644620768229,-10.730365051269532,0.2458,-3.4049798354700798,0.7114222222222222,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,9,15.54756703160026,0.07239962004398424,0.012256958267905495,1.712839033115994,4.931017024950548,-15.54756703160026,15.625198459625244,0.06306700414540817,-0.06537446975708008,4.924825620651245,1.7190304279327393,-15.625198459625244,-13.834966110568576,-10.699990481567383,0.2478,-3.413947289641188,0.7596444444444445,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,10,15.539995431900024,0.07397850316487241,0.01982855796813965,1.5075780207460576,5.136278033256531,-15.539995431900024,15.619349956512451,0.06367785395408163,-0.05952596664428711,4.979394054412841,1.6644619941711425,-15.619349956512451,-14.032606271023221,-10.639473303222656,0.2468,-3.4520354159133144,0.8026222222222222,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,11,15.526228070259094,0.0747136506927831,0.033595919609069824,1.339811383323236,5.304044680161909,-15.526228070259094,15.601828861236573,0.0639324577487245,-0.042004871368408206,4.959841394424439,1.684014654159546,-15.601828861236573,-14.186611939324273,-10.641062292480468,0.2506,-3.4389743096686733,0.8373333333333334,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,12,15.518328482454473,0.07480481404817085,0.04149550741369074,1.195280971852216,5.448575068603862,-15.518328482454473,15.60952377319336,0.06392299107142857,-0.04969978332519531,4.969178628921509,1.6746774196624756,-15.60952377319336,-14.323075886535644,-10.638548202514649,0.2518,-3.445889924909857,0.8650666666666667,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,13,15.527293953028591,0.0755147492866577,0.03253003683957187,1.0784003538164226,5.5654556859623305,-15.527293953028591,15.588778495788574,0.06335100446428571,-0.028954505920410156,4.987218284606934,1.6566377639770509,-15.588778495788574,-14.449054123772516,-10.599136239624023,0.2546,-3.458726729677453,0.8870222222222223,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,14,15.516995126550848,0.07608874258622408,0.04282886331731623,0.9670048586346887,5.676851196722551,-15.516995126550848,15.58814516067505,0.06363400829081632,-0.028321170806884767,4.979174089431763,1.6646819591522217,-15.58814516067505,-14.550187172783746,-10.608102426147461,0.257,-3.452126244289581,0.9069555555555555,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,15,15.514705170284618,0.07665971819863936,0.04511881958354603,0.8818853003057566,5.7619707421822985,-15.514705170284618,15.595848274230956,0.06305803571428571,-0.036024284362792966,5.0121606349945065,1.6316954135894775,-15.595848274230956,-14.632888172573514,-10.581831521606444,0.2582,-3.4758266471376804,0.9208,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,16,15.517860900272023,0.07651589133522728,0.04196308959614147,0.8113566982475194,5.832499341531233,-15.517860900272023,15.58558759689331,0.06259964923469388,-0.025763607025146483,5.0260114669799805,1.617844581604004,-15.58558759689331,-14.706562723965115,-10.557196624755859,0.258,-3.4856739676091486,0.9329777777777778,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,17,15.517651557922363,0.07627145867598685,0.04217243194580078,0.7431547811085527,5.900701273571361,-15.517651557922363,15.609939193725586,0.06326032366071428,-0.050115203857421874,5.044459295272827,1.5993967533111573,-15.609939193725586,-14.774531646728516,-10.563495831298829,0.257,-3.4983539762261615,0.9445111111111111,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,18,15.516448107632725,0.07684812895609051,0.04337588223544034,0.6880752823569558,5.955780755389821,-15.516448107632725,15.585607147216797,0.06448501275510204,-0.02578315734863281,5.072859191894532,1.5709968566894532,-15.585607147216797,-14.82835731455485,-10.510267727661132,0.2548,-3.5181407205581263,0.9517333333333333,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,19,15.516074895858765,0.07703814590186403,0.043749094009399414,0.643220766024156,6.000635277141225,-15.516074895858765,15.594351387023925,0.06393494897959183,-0.03452739715576172,5.061576986312867,1.5822790622711183,-15.594351387023925,-14.87287823893229,-10.530287417602539,0.2608,-3.5102658609850375,0.9581777777777778,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,20,15.510848359628158,0.07706403960451555,0.04897563024000688,0.5980296649716117,6.045826386321675,-15.510848359628158,15.612796401977539,0.06377052774234694,-0.052972412109375,5.069025373458862,1.574830675125122,-15.612796401977539,-14.912824008009169,-10.543147940063477,0.259,-3.5144913948876217,0.9640222222222222,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,21,15.516022389585322,0.07707046435780503,0.04380160028284246,0.5627960715104233,6.081059948964552,-15.516022389585322,15.611933422088622,0.06422592474489795,-0.05210943222045898,5.091339731216431,1.5525163173675538,-15.611933422088622,-14.953145409986709,-10.517357077026368,0.2572,-3.531442958908603,0.9678888888888889,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,22,15.520066087896174,0.07655857700670356,0.03975790197199041,0.5323410142551769,6.111515018072995,-15.520066087896174,15.593584537506104,0.06383480149872449,-0.03376054763793945,5.116846418380737,1.527009630203247,-15.593584537506104,-14.987702896118163,-10.474565979003906,0.2578,-3.548516917225988,0.9728,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,23,15.511075334115462,0.07704384056955244,0.048748655752702194,0.5057438551024958,6.138112209059975,-15.511075334115462,15.589302349090577,0.06199428013392857,-0.02947835922241211,5.105762386322022,1.538093662261963,-15.589302349090577,-15.005352779134114,-10.481342202758789,0.2602,-3.540934665043064,0.9747333333333333,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,24,15.513364163312046,0.07761350202788576,0.04645982655611905,0.4805943589996208,6.163261711597443,-15.513364163312046,15.606709957122803,0.0631706393494898,-0.04688596725463867,5.129300451278686,1.5145555973052978,-15.606709957122803,-15.03279993218316,-10.47495490875244,0.2592,-3.5573376683677815,0.9780444444444445,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,25,15.512348868630149,0.07731840142793062,0.047475121238014915,0.4603098807009784,6.1835461475632405,-15.512348868630149,15.594928550720216,0.06441476004464286,-0.035104560852050784,5.136350345611572,1.5075057029724122,-15.594928550720216,-15.052025434875489,-10.456329083251953,0.2608,-3.562139312784811,0.9799111111111111,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,26,15.522571184418418,0.07714215876383074,0.03725280544974587,0.44136024097150023,6.202495835044167,-15.522571184418418,15.583386707305909,0.0624397122130102,-0.02356271743774414,5.147065925598144,1.4967901229858398,-15.583386707305909,-15.081199130927192,-10.433930426025391,0.2582,-3.56951541330249,0.9808666666666667,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,27,15.519752730022777,0.07777183325857256,0.04007125984538685,0.42497600852088496,6.218880035660484,-15.519752730022777,15.64928970336914,0.062269312021683676,-0.08946571350097657,5.15072021484375,1.4931358337402343,-15.64928970336914,-15.094772303941514,-10.496237182617188,0.2598,-3.571992047282285,0.9835777777777778,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,28,15.507819045673717,0.0772733794825309,0.05200494419444691,0.41060464761473914,6.233251409097151,-15.507819045673717,15.605813026428223,0.06252640704719388,-0.045989036560058594,5.171437835693359,1.472418212890625,-15.605813026428223,-15.097205326843262,-10.432116061401366,0.259,-3.5865722028657037,0.9848,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,29,15.517562010071494,0.07653248861455841,0.0422619797966697,0.39733152836561203,6.246524539860812,-15.517562010071494,15.607448196411132,0.0628432916135204,-0.04762420654296875,5.176222229003907,1.4676338195800782,-15.607448196411132,-15.120322035725911,-10.429386877441406,0.262,-3.5896257227136594,0.9854,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,30,15.520745537497781,0.07657084244480163,0.03907845237038352,0.38494882123036817,6.258907225998965,-15.520745537497781,15.589034938812256,0.0619758450255102,-0.029210948944091798,5.178558015823365,1.4652980327606202,-15.589034938812256,-15.135822249179416,-10.408600787353516,0.2614,-3.5909653477997816,0.987,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,31,15.515216155485673,0.07763520990642445,0.04460783438249068,0.3749200291931629,6.268936038017273,-15.515216155485673,15.591855716705322,0.0615119778380102,-0.0320317268371582,5.172858190536499,1.4709978580474854,-15.591855716705322,-15.140327684020995,-10.416966226196289,0.2606,-3.5872438014762347,0.9875555555555555,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,32,15.515697435899215,0.07775640411620316,0.04412655396894975,0.3653416965495456,6.278514368967577,-15.515697435899215,15.605418682098389,0.06269331951530613,-0.04559469223022461,5.195817184448242,1.4480388641357422,-15.605418682098389,-15.150454346381293,-10.408348971557617,0.2608,-3.602690613336352,0.9879777777777777,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,33,15.513673316348683,0.07774973600104665,0.046150673519481315,0.35595220225778496,6.287903850728815,-15.513673316348683,15.587962245941162,0.062471101721938774,-0.028138256072998045,5.195231294631958,1.4486247539520263,-15.587962245941162,-15.157802366129557,-10.391413516235351,0.26,-3.6024769285436675,0.9890666666666666,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,34,15.514465082775462,0.07757948003887559,0.0453589070927013,0.348233545368368,6.295622489669106,-15.514465082775462,15.603504467010499,0.06264847735969388,-0.04368047714233399,5.213065958023071,1.430790090560913,-15.603504467010499,-15.166325741746691,-10.388705451965333,0.2604,-3.6147394950093106,0.9898888888888889,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,35,15.514623045921326,0.07794539894213516,0.04520094394683838,0.34132994372736325,6.302526116371155,-15.514623045921326,15.634215259552002,0.06320651307397959,-0.07439126968383789,5.20559458732605,1.4382614612579345,-15.634215259552002,-15.173358370293512,-10.426597888183593,0.2616,-3.6096556776956015,0.9900666666666667,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,36,15.521658691492947,0.0781793670410935,0.0381652983752164,0.33440153436227277,6.30945448441939,-15.521658691492947,15.593039989471436,0.0638148716517857,-0.033215999603271484,5.206359815597534,1.4374962329864502,-15.593039989471436,-15.187332433064778,-10.384592483520509,0.2606,-3.610433030610002,0.9907777777777778,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,37,15.514624378897928,0.07818189800451057,0.04519961097023704,0.32924614000049507,6.314609906890175,-15.514624378897928,15.596953964233398,0.06307497608418368,-0.037129974365234374,5.204551696777344,1.4393043518066406,-15.596953964233398,-15.18538235812717,-10.390578756713866,0.2612,-3.6089933590793777,0.9911333333333333,,,,
QminimalityGamma,cifar100,all,False,False,decay,adam,5e-05,tloss,0,dib,0,mlpxl,1024,1,0,1024,1,0,1,0,1024,3,3,-0.1,default,0,transformer,38,15.510568911379034,0.0780858674117823,0.049255078489130195,0.32388033921068365,6.319975712082603,-15.510568911379034,15.59446449279785,0.06451092155612245,-0.0346405029296875,5.216847229003906,1.427008819580078,-15.59446449279785,-15.186734893459745,-10.376158523559571,0.2606,-3.6174896406753674,0.9915777777777778,,,,
